agent_a,agent_b,games,wins_a,wins_b,ties,win_rate_a,ci_low,ci_high
random,greedy,40,22,15,3,0.550000,0.398291,0.692947
random,uct,40,7,30,3,0.175000,0.087454,0.319500
random,rave,40,5,32,3,0.125000,0.054595,0.261121
random,curriculum_ref,40,14,13,13,0.350000,0.221345,0.504941
greedy,uct,40,5,34,1,0.125000,0.054595,0.261121
greedy,rave,40,4,36,0,0.100000,0.039580,0.230518
greedy,curriculum_ref,40,31,0,9,0.775000,0.624969,0.876839
uct,rave,40,24,15,1,0.600000,0.445959,0.736517
uct,curriculum_ref,40,24,16,0,0.600000,0.445959,0.736517
rave,curriculum_ref,40,19,19,2,0.475000,0.329355,0.625026
